disease,symptoms_used,generated_call
Fainting,"Unconsciousness, Arrhythmia, Paleness","Oh God, oh God! I need help, quick! Something has happened to my mate. He's... he's not waking up! I- I dunno what to do... I tried shaking him, nothing... tried yelling in his ear but nothin'. He's just out cold... Oh man, oh man, he's all pale too, he's gone white like-a-sheet. I don't know why he's like this. 

And, and his heart... it's going all weird. Like, it's not regular, you know, it's... it's skippin' or something... beating strange, too fast. I can feel it under my fingers, it's not right. No, it's not right at all! Never felt anything like this...

This is bad, real bad, isn't it? He was fine! He was completely fine just an hour ago, then boom! He passed out, like that! Oh God, I need there to be an ambulance here now. You gotta send help, please, he needs help... please, I don't know what to do..."
Fainting,"Paleness, Dizziness, Unconsciousness","Oh God... uh... Hi... I mean... Help... Please... My husband.. he just... he just collapsed... Jesus... Please, I need help. I'm so scared... His face... it's white, like pale. Like ghost white. He's never this pale... and... and he said he was dizzy... yeah dizzy a few minutes ago... He... Oh my God... Sorry. I'm terrified here. 

He's just lying there now. Not moving... Unconscious, I think. I tried shaking him, yelling at him... but he's just... he's not waking up... Please... My heart's racing. I don't know what to do. He's... he's all weird. Oh God, I shouldn't touch him, should I? 

God, I never saw him like this. He's always strong... but now he's just lying there, pale, like... like a sheet. The dizziness came out of nowhere... He just said he was feeling lightheaded and then... then just bam! He's on the ‎floor... Out cold. Now what? What do I do? Please... please, tell me what to do..."
Fainting,"Dizziness, Unconsciousness, Paleness","Oh-my-god, oh-my-god, I need help. I... I... don't know what's happening. My friend... he just collapsed... He was fine a minute ago, laughing and then... just... just out of nowhere, you know... He started getting real dizzy, like, his eyes were sort of rolling back, and he was stumbling, can't keep balance. I tried... I tried to catch him... But he just fell, just... just fell down.

He's... he's not moving now. Eyes closed. Oh, god... I don't... I don't know if he's breathing... I can’t... can’t tell! He's so... so pale, man! Like... he's seen a ghost or something, you know. Never seen him this pale... oh god, this ain't good... His lips too... they're bluish... is that normal?

His hands... they’re freezing and kinda sweaty. Isn’t that.. that weird? So cold... so pale. I... I don't know what’s happening!! I'm scared, seriously scared here. He's my best friend. He shouldn't be like this... he just can’t... Can’t you send someone? Like, right now! He’s real sick! Please... we need help!"
Fainting,"Arrhythmia, Unconsciousness, Paleness","Oh God, oh God, please... I... I need help! Something... something's wrong with my husband! He's... oh God, he's not... he's not waking up! I... I tried shaking him, yelling his name, but but he's not... he's not responding! It's like... it's like he's... he's unconscious or something... I don't... I don't know what to do! 

His... his heart, it's... it's beating so weird! I can... I can feel it... it's like it's... it's not regular, it's... it's all over the place! I... I don't know much about this stuff but... but it can't... it can't be good, right? 

And... and he's so pale! Oh Jesus, he's so, so pale... He looks different... I can't... I can't even recognize him! His skin is like... like white as a sheet and it's freaking me out! 

I... I don't know what's happening! I don't... I don't know what to do... I'm scared... I'm so, so scared! Please... please, you gotta help him! You gotta send someone quick... please... just help him!"
Fainting,"Unconsciousness, Arrhythmia, Paleness","Oh God, oh God...hello, hello? I...I need help, please! My friend, she...she's not waking up! She's unconscious, she was just... You've gotta send help, please! She...she's so pale...like a sheet, I've never seen her...her...it's so scary, she's like paper. 

And her heart, it's...you have to understand, I've never seen anything like this...I...I can't tell if it’s...but it’s not a regular beat, it feels all over the place. It's scaring me...it's...I think it's some sort of...I don't know...arrhythmia? Is that what it's called? Arrhythmia? 

Jesus, this is so messed up. Is she gonna be okay? I don't know what to do! She's so pale and...God, her heart rate's crazy! Please, just...just send someone! I...I can't...Oh God, oh God, I just...you have to hurry!"
Fainting,"Paleness, Dizziness, Unconsciousness","Oh God, oh God, please, you gotta help me. Oh, man, something's terribly wrong. My friend, she just... She just dropped like a stone. I..I just don't know what to..to do. Uh... I need an ambulance, I need it right now! She’s cold, so cold and she's gone all white, I mean ... real pale, so damn pale. 

And then, before that, she was, uh... like dizzy ya know? Like she couldn't uh...grab onto anything right, kept stumbling around like after too many beers, but she didn't drink, I swear she didn’t. 

She's not waking up now, God I'm shaking, I can't wake her up. Oh God, please tell me you’re sending someone already! I don't know what the hell’s happening, she's not...she's not responding to anything. What should I do? Oh God! I don’t know how to...how to handle this...someone please get here quick!"
Fainting,"Dizziness, Unconsciousness, Paleness","Oh God... okay, okay, I just need... okay, needing help here right now. I'm with my friend, and he's real bad. Oh my God... okay, get a grip, get a grip. 

He, he just fell over like a sack. I mean, he was standin' one minute, and... and on the floor the next. He ain't movin' at all now... he's... oh heck, he ain't wakin' up... 

He was feelin' all dizzy 'fore, he said... He told me he’s feelin' like everything's spinnin'. He was sweatin' and... and his face was real sick-lookin', like... like, pale ya know... Whiter than a sheet.

Hold on, let me... Damn, this ain’t right... He's so cold... And he ain't wakin' up, y'know, just layin' there with his eyes shut... Goddamn... 

Look I... I don't know what's wrong, okay? I ain’t no doctor, but this ain’t right – it ain’t right, and he ain't okay. Ford’s sake, please send help!"
Fainting,"Arrhythmia, Unconsciousness, Paleness","Oh–oh God! Please, I need help…My friend, I think he's–something's happening, he's not... It's not right at all. His heart, man, it's going all weird. Like, it's fluttering or somethin’, not right, not normal, knock knock knocking around in his chest like some mad thing. It's scary. I ain't ever seen nothin' like this before. One minute he's fine, next minute he's down...like, he passed out or somethin’. He ain't waking up, no matter what I do! 

I... I tried to, you know, shake 'im awake, yell at 'im, but it just don’t work. And it's like, he's gone all pale, goddamn ghost-like. Even his lips, man. They ain't got no color no more. What do I do? Help me, man, he's all I got!"
Fainting,"Burns, Unconsciousness, Arrhythmia","Oh God... Jesus, uh... hello? Hello?! I need-... no, man... I REALLY NEED some help here, seriously... My... my friend... God... she's... uh. Not waking up! Unconscious, you know? Completely... 

Damn it, I... I tried slapping her face a bit, yelling... she's not responding! Just like... out of it. Oh, God... her heart... it's acting all weird too... r-racing and slowing down... uh, l-like a roller coaster, it... doesn’t seem right... 

Wait, hold on... Jesus... agh, there's also these... these burns! I just noticed them! Burns on her arms and... and her legs, man! I don't know how she... I mean, they look painful, bad. Skin is like... it's so red and... and blistering, like there’s steam outta... no, that makes no sense...

I don’t know... I just, I came home, and she’s on the floor... I can't, I... I don't know what's, uh... happening, man. Please... you gotta send someone quick... I'm really scared..."
Fainting,"Unconsciousness, Dizziness, Arrhythmia","Oh God... oh God, I need help... there's... there's something seriously wrong... with my wife. Please, uhm... She... she just fell... fell over... unconscious. I...I can't... I can’t wake her up... I... I yelled and I even tried... shake her but nothing... absolutely nothing.

She was... she was dizzy before... she told me she was... really dizzy and... her heartbeat... she kept saying... her heart was all weird... all over the place, you know? Not... not right at all, it wasn't making... normal heartbeat... she said... it was erratic, not... not rhythmical as it... usually is...

I... oh god, I don't know... she's just lying here, limp... so lifeless... I can't... This is terrifying... please, I don't know what to do... I can't...I can't think... all I see is her on the floor. She's not waking up... not moving... I... God, please, send someone... help me... please... I don't know how to help her."
Fainting,"Arrhythmia, Unconsciousness, Paleness","Oh my god, oh my god...hello? I need help. My...my husband, he's... I don't know what's happening. He's unconscious! He's not waking up. This is bad, really bad. He was fine one moment and then... God, his heart, it's... it's like a crazy drum solo, not normal... you know, it's... it's irregular or something. I can't... I don't know...I– Oh God, he looks so... so pale. He's normally kind of red-faced you know? Not like... like he's seen a ghost or something. He's cold... I touched his face and he's...he's cold. Someone needs to come now, you gotta get someone over here quick, please!"
Fainting,"Dizziness, Burns, Unconsciousness","Oh God, oh God, you gotta, you gotta help, something's really wrong here. My...my friend... he's not, not waking up. Uh, he’s totally out... I mean, unconscious. Uh, I...I don't know what's...I don't know what's happening. Heart’s slippin' outta my chest, I’m...I’m...

We...we were just, just messing around with something, y'know? Some stupid experiment with a circuit board, and...and something sparked. Oh God, it was like...li-like a mini explosion or something, didn't even see it coming. It...it singed him, y’know, real bad burn on his arm. Skin’s all...uh...it's all messed up, all red...uh...blistery. 

And now he's jus’...just lying there, out cold, and, uh, I tried shaking him, I did, but he’s not...not... It's damn scary, y'know? I’m...I’m, uh...shit, I'm feelin' seriously dizzy here. 

I, uh, I don't know what to... I don’t really know how to... Is this...is this shock or somthin'? Gah, I need... I need someone here, quick, okay? Please hurry... please send help... oh God... oh God..."
Fainting,"Burns, Paleness, Unconsciousness","Oh god, oh god, I...I need help... please, it's really bad. My friend- he...he's... he got hurt real bad. We were working on a... a home project an'-an'-there was a fire - just happened so fast. His hands, his face - all...they're all burnt, badly. Skin's all blistered... and horrible... and just... crimson... Not massive fire, but I...I doused it quickly but...just... I don't know what to do.

His face, his hands, they’re... they're pale...like this ghostly white. He's not...not movin', not responsive. I slapped him round a bit, but he's not...not wakin' up. I feel cold chills just...just lookin' at him...he's just...just unconscious. Just... just lying there...like... this ain't a damn joke. He's not responding to... to anything. No groans, no... no open eyes. I'm... I'm really scared here... my friend...he’s...

He's this big, tough guy, ya know? Always... always so energetic, so unstoppable. And seeing him laying there–so pale, so motionless...burnt and unresponsive... I...I just... I really need something, someone, to come and help. I... don't know what to do... Lord... God...this can't be real... I’m all shaky and... God, please, someone should... should get here quick."
Fainting,"Dizziness, Burns, Arrhythmia","Oh God, please...I need help... an ambulance or something! Oh Lord, I can't think straight. So, I'm here, and... and my husband, he's... he's not alright. He's...uh, freaking me out... Dammit, I can't get my words straight, ah... 

He's... dizzy. Yeah, dizzy like, he can't stand up, and ... he keeps toppling over and stuff. Kind of swaying side to side, like when you're seasick or something ...  He is all ...messed up. And his body, he's... oh God, there's... there's some burns... all over his... his arm, and ...half of his chest. It's so red, and bad, and.. it looks like a really... like a...really bad sunburn or something. But it ain't... ain't no sunburn...

And his heart... Oh God, it's his heart... it's like, it's doing this weird stuff... not like a proper heartbeat, it's not... it's not regular you know, it’s all over the place...jumping, and ...and thumping then going all slow and ... and I can't... I just can't understand it. It’s like that irregular beat... you know... like a bad drum solo or something... And then he's out… like passed out or something... He's not responding!
 
Good Lord, we need help right now, please... this can't happen.. I can't... Can you hear me? He needs...he needs help... I need... I'm scared...Dammit!"
Epilepsy,"Paralysis, Eye Rolling, Burns","Oh God, please. I-I need... I need help. Um... My, my friend... She just, she, oh man, she's not moving. She's like... She's like paralyzed or something. Ain't moving a muscle, I tried shaking her but nothing... God. Nothing at all... She was just fine a minute ago. I mean we... we were just hanging out and then she collapsed, just like that. 

Eyes, her eyes! They...they ain't focusing on anything... They're just rolling back into her head... Like she can't control them. What... what the hell... She doesn't even blink, man. It's it's like she can't see anything... Doesn't respond when I wave my hand.

Oh my God... Wait, wait... God, her wrists... They're... they're red and blistered, like... like she touched something hot, but she didn't, I swear. We weren't near anything hot. Just hurts to look at. Like a cooking burn but, but worse... How did I not see it before? Just developed so fast... Oh God...

Oh God, I need help right now. You’ve gotta send someone fast or I don't...I don't know what'll happen. What's wrong with her? What can I do? I-I don't know anything about this. I'm lost. I need help, please."
Epilepsy,"Arrhythmia, Paralysis, Unconsciousness","Oh God...hello? Oh my lord, help me please, something’s wrong...he's not waking up! He went down like a... like a sack of bricks. One moment he's there, you know, and the next he's on the floor, he ain't... he ain't moving at all! 

Yeah we were having our dinner and I don't know...I don’t goddamn know, he... he was acting all strange. Like he was holding his chest, real tight around his heart...his face all red and sweaty. It was...the beat of his heart I could feel it...it wasn't right, I mean, you know, like somethin' was off. I'm not sure but...it's as if his heart was out of flow...jeez, has it even stopped? Oh God please... 

And... and he's not moving his left side. His left arm's all limp and his left leg too, it's...shit! It's not moving. Like as if...God I don’t know! As if it’s not... not part of him any more. He ain't twitching or nothing, just fucking... laying there all still-like. 

Oh God, I'm scared! Do...do I need to do something? CPR? Oh Jesus I don't remember how...I'm so goddamn useless... we need help like right now! He just went all...what's it called, like blank and then...down he goes. He ain’t woken up since then...I can’t... Oh God he needs help...Now!"
Epilepsy,"Unconsciousness, Confusion, Arrhythmia","Oh God... oh God... please pick up... I need help... My wife, She just collapsed... She's not... Oh god... she ain't moving... She's...breathing like funny... her chest... it's kind of like jerking... I can never remember how they told me to measure her pulse but it's all... It ain't right... it's so fast and then slow... Skips, I guess... God, it feels all wrong. I've never felt a pulse do that before...

Some time ago, I dunno, before... She was just... She wasn't herself... very confused... kept forgetting stuff... asked me the same things over and over... Got so frustrated, slamming things... but she ain't never like that... normally so gentle. Just wasn't like her at all... Then she got dizzy, I guess, just dropped to the floor outta the blue... 

She's still not moving... I can't... can't wake her up, no matter how much I shake her or yell her name... it's like she's just... she ain't here... eyes all wide open, staring but like she's not really seeing anything... and her skin is cold... so Cold...

I feel so goddamn lost... I don't know what to do... Need help here, now... please send someone. I'm so scared... I can't lose her... Can't lose her..."
